,Collection,PatientID,PatientName,PatientSex,StudyInstanceUID,StudyDate,StudyDescription,SeriesCount
37,Mouse-Astrocytoma,TVD_GBM_U87_4538_121511,TVD_GBM_U87_4538_121511,F,1.3.46.670589.11.17169.5.0.8084.2011121508500512218.4,2011-12-15,Spontaneous Brain Tumor Model,6
38,Mouse-Astrocytoma,TVD_GBM_IC1_070610_33_100110,TVD_GBM_IC1_070610_33_100110,M,1.3.46.670589.11.17169.5.0.6060.2010100109470843631.4,2010-10-01,GBM_intracranial,6
39,Mouse-Astrocytoma,TVD_GBM_IC2_11311020_020811,TVD_GBM_IC2_11311020_020811,F,1.3.46.670589.11.17169.5.0.3164.2011020809040192350.4,2011-02-08,GBM_intracranial,6
40,Mouse-Astrocytoma,TVD_GBM_IC2_11311011_021511,TVD_GBM_IC2_11311011_021511,M,1.3.46.670589.11.17169.5.0.4584.2011021511013196216.2,2011-02-15,GBM_intracranial,6
41,Mouse-Astrocytoma,TVD_GBM_IC2_11311013_020811,TVD_GBM_IC2_11311013_020811,M,1.3.46.670589.11.17169.5.0.3164.2011020809040192350.3,2011-02-08,GBM_intracranial,6
42,Mouse-Astrocytoma,TVD_GBM_IC1_070610_19,TVD_GBM_IC1_070610_19,M,1.3.46.670589.11.17169.5.0.6060.2010092709381189369.3,2010-09-27,GBM_intracranial,6
43,Mouse-Astrocytoma,TVD_GBM_IC2_11311061_021811,TVD_GBM_IC2_11311061_021811,M,1.3.46.670589.11.17169.5.0.4584.2011021811534083539.2,2011-02-18,GBM_intracranial,7
44,Mouse-Astrocytoma,TVD_GBM_U87_1202445_022112,TVD_GBM_U87_1202445_022112,F,1.3.46.670589.11.17169.5.0.548.2012022109060329918.2,2012-02-21,,6
45,Mouse-Astrocytoma,TVD_GBM_U87_1202144_021412,TVD_GBM_U87_1202144_021412,F,1.3.46.670589.11.17169.5.0.548.2012021409575487420.4,2012-02-14,Group-487 Cells,6
46,Mouse-Astrocytoma,TVD_GBM_IC1_070610_34,TVD_GBM_IC1_070610_34,F,1.3.46.670589.11.17169.5.0.6060.2010100409431882673.1,2010-10-04,GBM_intracranial,6
47,Mouse-Astrocytoma,TVD_GBM_U87_1202254_021512,TVD_GBM_U87_1202254_021512,F,1.3.46.670589.11.17169.5.0.548.2012021510554459498.3,2012-02-15,,6
